Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,MBP
12:33:17.864,1.522653,12:33:17.864,39.714247,12:33:17.864,0.003297,65
12:33:17.865,1.590189,12:33:17.865,39.748015,12:33:17.865,0.003626,65
12:33:17.866,1.522653,12:33:17.866,39.697363,12:33:17.866,0.003297,65
12:33:17.867,1.539537,12:33:17.867,39.815551,12:33:17.867,0.003297,65
12:33:17.868,1.573305,12:33:17.868,39.781783,12:33:17.868,0.003297,65
12:33:17.869,1.590189,12:33:17.869,39.731131,12:33:17.869,0.002969,65
12:33:17.870,1.708377,12:33:17.870,39.764899,12:33:17.870,0.002311,65
12:33:17.871,1.674609,12:33:17.871,39.731131,12:33:17.871,0.003626,65
12:33:17.872,1.657725,12:33:17.872,39.764899,12:33:17.872,0.003626,65
12:33:17.873,1.742145,12:33:17.873,39.663595,12:33:17.873,0.002969,65
12:33:17.874,1.691493,12:33:17.874,39.832435,12:33:17.874,0.002969,65
12:33:17.875,1.708377,12:33:17.875,39.916855,12:33:17.875,0.001982,65
12:33:17.876,1.708377,12:33:17.876,39.916855,12:33:17.876,0.003626,65
12:33:17.877,1.725261,12:33:17.877,39.764899,12:33:17.877,0.002969,65
12:33:17.878,1.742145,12:33:17.878,39.764899,12:33:17.878,0.001653,65
12:33:17.879,1.725261,12:33:17.879,39.748015,12:33:17.879,0.003297,65
12:33:17.880,1.792797,12:33:17.880,39.815551,12:33:17.880,0.002969,65
12:33:17.881,1.708377,12:33:17.881,39.731131,12:33:17.881,0.00264,65
12:33:17.882,1.657725,12:33:17.882,39.714247,12:33:17.882,0.001653,65
12:33:17.883,1.657725,12:33:17.883,39.764899,12:33:17.883,0.002311,65
12:33:17.884,1.623957,12:33:17.884,39.731131,12:33:17.884,0.002969,65
12:33:17.885,1.640841,12:33:17.885,39.663595,12:33:17.885,0.00264,65
12:33:17.886,1.623957,12:33:17.886,39.748015,12:33:17.886,0.001653,65
12:33:17.887,1.556421,12:33:17.887,39.748015,12:33:17.887,0.00264,65
12:33:17.888,1.539537,12:33:17.888,39.680479,12:33:17.888,0.002969,65
12:33:17.889,1.573305,12:33:17.889,39.612943,12:33:17.889,0.00264,65
12:33:17.890,1.539537,12:33:17.890,39.596059,12:33:17.890,0.004284,65
12:33:17.891,1.438233,12:33:17.891,39.731131,12:33:17.891,0.001982,65
